test_accuracy,test_balanced_accuracy,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_mcc,rep,train_dataset,val_dataset,analysis,cv,n_clients
0.8666666666666667,0.75,0.8181818181818181,0.8166666666666667,0.6666666666666666,,0.5,0.6504436355879909,0,Germany1,Germany1,count_taxa_0,4,1
0.875,0.5,1.0,0.9375,0.9333333333333333,,1.0,0.0,0,Germany2,Germany2,count_taxa_0,0,1
0.875,0.5,0.5714285714285714,0.9375,0.9333333333333333,,1.0,0.0,0,Germany2,Germany2,count_taxa_0,1,1
0.875,0.5,1.0,0.9375,0.9333333333333333,,1.0,0.0,0,Germany2,Germany2,count_taxa_0,2,1
0.875,0.5,1.0,0.9375,0.9333333333333333,,1.0,0.0,0,Germany2,Germany2,count_taxa_0,3,1
0.875,0.5,1.0,0.9375,0.9333333333333333,,1.0,0.0,0,Germany2,Germany2,count_taxa_0,4,1
0.6,0.606060606060606,0.6363636363636364,0.731060606060606,0.6,,0.5454545454545454,0.21212121212121213,0,Italy1,Italy1,count_taxa_0,0,1
0.75,0.7323232323232323,0.7474747474747475,0.8366883116883117,0.8,,0.9090909090909091,0.5044296328024895,0,Italy1,Italy1,count_taxa_0,1,1
0.75,0.7222222222222222,0.7676767676767677,0.84375,0.8148148148148148,,1.0,0.5527707983925666,0,Italy1,Italy1,count_taxa_0,2,1
0.8,0.8080808080808081,0.9191919191919191,0.883080808080808,0.8,,0.7272727272727273,0.6161616161616161,0,Italy1,Italy1,count_taxa_0,3,1
0.6,0.5858585858585859,0.5656565656565656,0.7463286713286713,0.6666666666666666,,0.7272727272727273,0.17910620335162064,0,Italy1,Italy1,count_taxa_0,4,1
0.6909090909090909,0.6810344827586207,0.7490053050397878,0.7505347593582887,0.6046511627906976,,0.5,0.3911656541912852,0,Japan1,Japan1,count_taxa_0,0,1
0.6422018348623854,0.637762001352265,0.6619337390128465,0.7004485479872045,0.5979381443298969,,0.5686274509803921,0.2783616059109784,0,Japan1,Japan1,count_taxa_0,1,1
0.6330275229357798,0.6220419202163624,0.6920216362407032,0.682501991622337,0.5348837209302325,,0.45098039215686275,0.2608484321460659,0,Japan1,Japan1,count_taxa_0,2,1
0.6880733944954128,0.677315753887762,0.7532116294793779,0.741009431295454,0.6046511627906976,,0.5098039215686274,0.37898892703770515,0,Japan1,Japan1,count_taxa_0,3,1
0.6146788990825688,0.611336032388664,0.6592442645074225,0.6836703384369918,0.5714285714285714,,0.5384615384615384,0.22519339342449982,0,Japan1,Japan1,count_taxa_0,4,1
0.5,0.5,0.7200000000000001,0.525,0.16666666666666666,,0.1,0.0,0,USA1,USA1,count_taxa_0,0,1
0.7,0.7,0.75,0.7964285714285715,0.75,,0.9,0.4364357804719848,0,USA1,USA1,count_taxa_0,1,1
0.55,0.5404040404040404,0.5454545454545454,0.5972222222222222,0.47058823529411764,,0.4444444444444444,0.08206099398622181,0,USA1,USA1,count_taxa_0,2,1
0.45,0.4494949494949495,0.46464646464646464,0.5472222222222222,0.42105263157894735,,0.4444444444444444,-0.10050378152592121,0,USA1,USA1,count_taxa_0,3,1
0.6842105263157895,0.6888888888888889,0.6666666666666667,0.7597022860180754,0.7,,0.7777777777777778,0.3820465887291705,0,USA1,USA1,count_taxa_0,4,1
0.5,0.5,0.6666666666666667,0.75,0.6666666666666666,,1.0,0.0,0,USA2,USA2,count_taxa_0,0,1
0.6666666666666666,0.6666666666666666,0.33333333333333337,0.8,0.75,,1.0,0.4472135954999579,0,USA2,USA2,count_taxa_0,1,1
0.6,0.5833333333333333,0.5,0.7666666666666666,0.6666666666666666,,0.6666666666666666,0.16666666666666666,0,USA2,USA2,count_taxa_0,2,1
0.8,0.75,1.0,0.875,0.8571428571428571,,1.0,0.6123724356957946,0,USA2,USA2,count_taxa_0,3,1
0.6,0.6666666666666666,1.0,0.75,0.6666666666666666,,1.0,0.4082482904638631,0,USA2,USA2,count_taxa_0,4,1
